date,ensemble / @vaccinorakel,@covid_nl,@kalahiri,@yorickb,RIVM/LNAZ
2021-01-28,22,,,22,
2021-01-29,23,,,23,
2021-01-30,23,,21,24,
2021-01-31,23,24,21,24,24
2021-02-01,24,25,23,24,24
2021-02-02,23,22,24,23,23
2021-02-03,23,23,24,24,24
2021-02-04,23,21,23,24,24
2021-02-05,23,21,23,25,
2021-02-06,22,21,,22,
2021-02-07,23,21,24,23,22
2021-02-08,23,22,,23,
2021-02-09,23,23,23,24,
2021-02-10,24,23,24,25,
2021-02-11,24,24,23,25,
2021-02-12,25,24,24,26,
2021-02-13,24,25,23,23,
2021-02-14,24,23,24,24,23
2021-02-15,24,23,24,24,
2021-02-16,24,24,24,24,
2021-02-17,24,24,,24,
2021-02-18,25,27,25,24,
2021-02-19,26,29,25,24,
2021-02-20,25,26,25,25,
2021-02-21,26,26,26,26,26
2021-02-22,27,27,26,27,
2021-02-23,28,28,27,28,
2021-02-24,28,29,28,27,
2021-02-25,28,29,28,27,
2021-02-26,28,29,29,27,
2021-02-27,29,30,29,28,
2021-02-28,30,31,30,28,29
2021-03-01,30,30,30,29,
2021-03-02,30,31,29,30,
2021-03-03,30,31,30,30,
2021-03-04,31,32,31,31,
2021-03-05,32,32,31,32,
2021-03-06,33,33,32,32,
2021-03-07,34,34,33,35,33
2021-03-08,34,34,34,34,
2021-03-09,34,34,35,35,
2021-03-10,35,35,35,36,
2021-03-11,36,35,36,36,
2021-03-12,36,36,37,37,
2021-03-13,37,37,37,38,
2021-03-14,38,37,38,39,
2021-03-15,39,,39,,
