date,people_fully_vaccinated,people_vaccinated,total_vaccinations
2021-01-30,31000,315790,346790
2021-01-31,35500,308381,343881
2021-02-01,30000,345908,375908
2021-02-02,31000,385093,416093
2021-02-03,35500,419498,454998
2021-02-04,45000,450535,495535
2021-02-05,47000,485717,532717
2021-02-06,,,
2021-02-07,50000,521361,571361
2021-02-08,,,
2021-02-09,77000,549146,626146
2021-02-10,80000,580284,660284
2021-02-11,100000,594888,694888
2021-02-12,100000,625175,725175
2021-02-13,135000,619365,754365
2021-02-14,135000,648606,783606
2021-02-15,150000,650905,800905
2021-02-16,163931,671998,835929
2021-02-17,,,
2021-02-18,185356,730357,915713
2021-02-19,203450,754995,958445
2021-02-20,215498,771937,987435
2021-02-21,226298,787992,1014290
2021-02-22,240000,822871,1062871
2021-02-23,248187,864349,1112536
2021-02-24,265217,904085,1169302
2021-02-25,285284,950908,1236192
2021-02-26,294720,991022,1285742
2021-02-27,304034,1014974,1319008
2021-02-28,308979,1027691,1336670
2021-03-01,321015,1058640,1379655
2021-03-02,360925,1064394,1425319
2021-03-03,375875,1094747,1470622
2021-03-04,394485,1132530,1527015
2021-03-05,409105,1162213,1571318
2021-03-06,417334,1178921,1596255
2021-03-07,425200,1194891,1620091
2021-03-08,422058,1234186,1656244
2021-03-09,433329,1263169,1696498
2021-03-10,445536,1294558,1740094
2021-03-11,458036,1326700,1784736
2021-03-12,471539,1361423,1832962
2021-03-13,480663,1384884,1865547
2021-03-14,488263,1404427,1892690
2021-03-15,499759,1415813,1915572
2021-03-16,508769,1437871,1946640
2021-03-17,517638,1459586,1977224
2021-03-18,526643,1481632,2008275
2021-03-19,536113,1504818,2040931
2021-03-20,544681,1525794,2070475
2021-03-21,552732,1545505,2098237
2021-03-22,614442,1507986,2122428
2021-03-23,630737,1535732,2166469
2021-03-24,652195,1572268,2224463
2021-03-25,668355,1599784,2268139
2021-03-26,679865,1643747,2323612
2021-03-27,690374,1665083,2355457
2021-03-28,698079,1680727,2378806
2021-03-29,708047,1732042,2440089
2021-03-30,723535,1781749,2505284
2021-03-31,747730,1829931,2577661
2021-04-01,772808,1891329,2664137
2021-04-02,795401,1946643,2742044
