date,people_vaccinated,people_fully_vaccinated,total_vaccinations
2021-01-28,197250,6200,46590050
2021-01-29,209298,6200,49349042
2021-01-30,220098,6200,51822242
2021-01-31,234555,13500,56804595
2021-02-01,221555,26500,56804595
2021-02-02,243275,34000,63495975
2021-02-03,265702,38000,69547758
2021-02-04,317017,39500,82355427
2021-02-05,343475,39500,88467225
2021-02-06,359198,55000,95679738
2021-02-07,359858,55000,95832198
2021-02-08,379417,66409,102985806
2021-02-09,559737,66409,144639726
2021-02-10,593875,66409,152525604
2021-02-11,612536,82352,160519128
2021-02-12,642823,82352,167515425
2021-02-13,617459,136906,174258315
2021-02-14,636934,146672,181012986
2021-02-15,644312,156593,185009055
2021-02-16,667687,168242,193099599
2021-02-17,694959,180000,202115529
2021-02-18,723460,192253,211529703
2021-02-19,736192,222253,221400795
2021-02-20,754182,233253,228097485
2021-02-21,781037,233253,234300990
2021-02-22,829618,233253,245523201
2021-02-23,878283,234253,256995816
2021-02-24,876977,292325,270108762
2021-02-25,927144,309048,285560352
2021-02-26,964307,321435,297006402
2021-02-27,989256,329752,304690848
2021-02-28,1002503,334167,308770770
2021-03-01,1034742,344913,318700305
2021-03-02,1068990,356329,329248689
2021-03-03,1102968,367655,339713913
2021-03-04,1145261,381753,352740234
2021-03-05,1178489,392829,362974458
2021-03-06,1197192,399064,368735136
2021-03-07,1279872,340218,374240790
2021-03-08,1242184,414061,382592595
2021-03-09,1272374,424124,391891038
2021-03-10,1305072,435023,401961945
2021-03-11,1338552,446183,412273785
2021-03-12,1374722,458240,423414222
2021-03-13,1399161,466386,430941357
2021-03-14,1419517,473172,437211159
2021-03-15,1417524,498048,442497132
2021-03-16,1440513,506126,449673609
2021-03-17,1463146,514078,456738744
2021-03-18,1486124,522151,463911525
2021-03-19,1510290,530642,471455292
2021-03-20,1532151,538323,478279494
2021-03-21,1552695,545541,484692516
2021-03-22,1509048,613381,490281099
2021-03-23,1540360,626109,500454339
2021-03-24,1581594,642869,513850953
2021-03-25,1612647,655492,523940109
2021-03-26,1652088,671523,536754141
2021-03-27,1695930,659528,544110798
2021-03-28,1712741,666065,549504186
2021-03-29,1732463,707625,563660328
2021-03-30,1778751,726532,578720373
2021-03-31,1830139,747521,595439460
2021-04-01,1891538,772600,615415878
2021-04-02,1946852,795192,633412164
2021-04-03,1976140,807155,642941145
2021-04-04,2001996,817716,651353472
2021-04-05,2065707,843739,672082026
2021-04-06,2104409,859546,684673605
2021-04-07,2141547,874716,696756753
2021-04-08,2185836,892805,711166071
2021-04-09,2257855,878054,724394979
2021-04-10,2291642,891194,735235116
2021-04-11,2291642,891194,735235116
2021-04-12,3042362,858102,901007184
2021-04-13,3136253,884583,928813116
2021-04-14,3226882,910145,955653237
2021-04-15,3317454,935692,982476726
2021-04-16,3404319,960192,1008202041
2021-04-17,3489472,984210,1033420542
2021-04-18,3571373,1007310,1057675773
2021-04-19,3722516,965791,1082998917
2021-04-20,3801008,986155,1105834653
2021-04-21,3869658,1003966,1125807144
2021-04-22,3932463,1020261,1144079244
2021-04-23,4001272,1038113,1164097935
2021-04-24,4071765,1056402,1184606577
2021-04-25,4134752,1072743,1202931345
2021-04-26,4203318,1090533,1222879581
2021-04-27,4023607,1152403,1195658310
2021-04-28,4091574,1174286,1216413660
2021-04-29,4165344,1195458,1238345262
2021-04-30,4238807,1216542,1260185619
2021-05-01,4318288,1239354,1283815302
2021-05-02,4390859,1298182,1314168471
2021-05-03,4531911,1277436,1341959157
2021-05-04,4612758,1305771,1367180199
2021-05-05,4707391,1337835,1396447206
2021-05-06,4802311,1369977,1425798528
2021-05-07,4899519,1402738,1455821367
2021-05-08,4995487,1435162,1485479919
2021-05-09,5086633,1465819,1513616412
2021-05-10,5186011,1510220,1546829361
2021-05-11,5192100,1644283,1579204473
2021-05-12,5309640,1684942,1615748442
2021-05-13,5423690,1724571,1651248291
2021-05-14,5531156,1762260,1684779096
2021-05-15,5645012,1803686,1720649238
2021-05-16,5870240,1875801,1773843389
2021-05-17,5776748,2014215,1799712453
2021-05-18,5892162,2116267,1729820664
2021-05-19,6003269,2216959,1660486056
2021-05-20,6110955,2316572,1575947549
2021-05-21,6218253,2110906,1433225658
2021-05-22,6324322,2148977,1330307943
2021-05-23,6428030,2186304,1223235428
2021-05-24,6492476,2214303,1114467712
2021-05-25,6223302,2577736,1003318332
2021-05-26,6223302,2585483,898496070
2021-05-27,6459690,2685158,786456928
2021-05-28,6551683,2728680,798111218
2021-05-29,6646344,2773240,697049216
2021-05-30,6737150,2816298,620974120
2021-05-31,6833181,2871133,436694130
2021-06-01,7031672,3020815,452361915
2021-06-02,7152706,3093884,389370420
2021-06-03,7278847,3168939,355224724
2021-06-04,7400059,3242077,255411264
2021-06-05,7520022,3314730,140851776
2021-06-06,7644983,3389325,11034308
